Test04, Exch0Lit, 100.4,72,1,AAAA,AA, {'party2': 'B04', 'party1': 'S10', 'price': 72, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.4000000000057, 'type': 'Trade'}
Test04, Exch0Lit, 100.45,72,1,AAA,AA, {'party2': 'B06', 'party1': 'S15', 'price': 72, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.45000000000572, 'type': 'Trade'}
Test04, Exch0Lit, 100.475,83,1,AAAA,MLOFI, {'party2': 'B12', 'party1': 'S08', 'price': 83, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.47500000000572, 'type': 'Trade'}
Test04, Exch0Lit, 100.5,116,1,AAAA,AA, {'party2': 'B11', 'party1': 'S12', 'price': 116, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.50000000000573, 'type': 'Trade'}
Test04, Exch0Lit, 100.55,141,1,AAAA,MLOFI, {'party2': 'B04', 'party1': 'S06', 'price': 141, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.55000000000574, 'type': 'Trade'}
Test04, Exch0Lit, 100.65,118,1,AAA,MLOFI, {'party2': 'B08', 'party1': 'S02', 'price': 118, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.65000000000576, 'type': 'Trade'}
Test04, Exch0Lit, 100.75,77,1,AAAA,MLOFI, {'party2': 'B12', 'party1': 'S05', 'price': 77, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.75000000000578, 'type': 'Trade'}
Test04, Exch0Lit, 100.775,102,1,AAAA,MLOFI, {'party2': 'B13', 'party1': 'S19', 'price': 102, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.77500000000579, 'type': 'Trade'}
Test04, Exch0Lit, 100.875,125,1,AAAA,MLOFI, {'party2': 'B15', 'party1': 'S16', 'price': 125, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.87500000000581, 'type': 'Trade'}
Test04, Exch0Lit, 100.975,107,1,AAAA,MLOFI, {'party2': 'B14', 'party1': 'S01', 'price': 107, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.97500000000583, 'type': 'Trade'}
Test04, Exch0Lit, 101.05,150,1,AAA,AA, {'party2': 'B19', 'party1': 'S11', 'price': 150, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 101.05000000000585, 'type': 'Trade'}
Test04, Exch0Lit, 101.275,116,1,AAAA,AA, {'party2': 'B04', 'party1': 'S07', 'price': 116, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 101.2750000000059, 'type': 'Trade'}
Test04, Exch0Lit, 101.65,137,1,AAAA,AA, {'party2': 'B15', 'party1': 'S00', 'price': 137, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 101.65000000000599, 'type': 'Trade'}
Test04, Exch0Lit, 105.325,149,1,AAAA,MLOFI, {'party2': 'B00', 'party1': 'S18', 'price': 149, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 105.32500000000682, 'type': 'Trade'}
Test04, Exch0Lit, 110.9,148,1,AAA,MLOFI, {'party2': 'B18', 'party1': 'S14', 'price': 148, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 110.90000000000809, 'type': 'Trade'}
Test05, Exch0Lit, 100.25,92,1,AAA,AA, {'party2': 'B17', 'party1': 'S10', 'price': 92, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.25000000000567, 'type': 'Trade'}
Test05, Exch0Lit, 100.275,97,1,AAA,AA, {'party2': 'B16', 'party1': 'S04', 'price': 97, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.27500000000568, 'type': 'Trade'}
Test05, Exch0Lit, 100.3,107,1,AAA,MLOFI, {'party2': 'B06', 'party1': 'S17', 'price': 107, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.30000000000568, 'type': 'Trade'}
Test05, Exch0Lit, 100.4,100,1,AAA,AA, {'party2': 'B10', 'party1': 'S14', 'price': 100, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.4000000000057, 'type': 'Trade'}
Test05, Exch0Lit, 100.45,91,1,AAAA,AA, {'party2': 'B05', 'party1': 'S13', 'price': 91, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.45000000000572, 'type': 'Trade'}
Test05, Exch0Lit, 100.5,104,1,AAA,AA, {'party2': 'B08', 'party1': 'S05', 'price': 104, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.50000000000573, 'type': 'Trade'}
Test05, Exch0Lit, 100.55,91,1,AAAA,AA, {'party2': 'B05', 'party1': 'S12', 'price': 91, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.55000000000574, 'type': 'Trade'}
Test05, Exch0Lit, 100.575,119,1,AAAA,MLOFI, {'party2': 'B12', 'party1': 'S15', 'price': 119, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.57500000000574, 'type': 'Trade'}
Test05, Exch0Lit, 100.8,100,1,AAAA,AA, {'party2': 'B13', 'party1': 'S19', 'price': 100, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.8000000000058, 'type': 'Trade'}
Test05, Exch0Lit, 100.825,105,1,AAA,MLOFI, {'party2': 'B01', 'party1': 'S00', 'price': 105, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.8250000000058, 'type': 'Trade'}
Test05, Exch0Lit, 100.9,105,1,AAAA,MLOFI, {'party2': 'B12', 'party1': 'S01', 'price': 105, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.90000000000582, 'type': 'Trade'}
Test05, Exch0Lit, 100.95,122,1,AAA,MLOFI, {'party2': 'B07', 'party1': 'S11', 'price': 122, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.95000000000583, 'type': 'Trade'}
Test05, Exch0Lit, 101.05,110,1,AAAA,AA, {'party2': 'B03', 'party1': 'S08', 'price': 110, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 101.05000000000585, 'type': 'Trade'}
Test05, Exch0Lit, 101.1,120,1,AAAA,MLOFI, {'party2': 'B00', 'party1': 'S06', 'price': 120, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 101.10000000000586, 'type': 'Trade'}
Test05, Exch0Lit, 101.225,150,1,AAA,AA, {'party2': 'B11', 'party1': 'S18', 'price': 150, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 101.22500000000589, 'type': 'Trade'}
Test05, Exch0Lit, 101.425,114,1,AAAA,MLOFI, {'party2': 'B03', 'party1': 'S02', 'price': 114, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 101.42500000000594, 'type': 'Trade'}
Test05, Exch0Lit, 101.625,117,1,AAAA,MLOFI, {'party2': 'B13', 'party1': 'S16', 'price': 117, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 101.62500000000598, 'type': 'Trade'}
Test05, Exch0Lit, 102.125,141,1,AAAA,AA, {'party2': 'B03', 'party1': 'S07', 'price': 141, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 102.1250000000061, 'type': 'Trade'}
Test05, Exch0Lit, 104.475,150,1,AAAA,MLOFI, {'party2': 'B18', 'party1': 'S03', 'price': 150, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 104.47500000000663, 'type': 'Trade'}
Test05, Exch0Lit, 105.75,148,1,AAAA,MLOFI, {'party2': 'B19', 'party1': 'S09', 'price': 148, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 105.75000000000692, 'type': 'Trade'}
Test06, Exch0Lit, 100.3,50,1,AAAA,MLOFI, {'party2': 'B01', 'party1': 'S15', 'price': 50, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.30000000000568, 'type': 'Trade'}
Test06, Exch0Lit, 100.425,61,1,AAA,AA, {'party2': 'B13', 'party1': 'S19', 'price': 61, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.42500000000571, 'type': 'Trade'}
Test06, Exch0Lit, 100.475,67,1,AAA,AA, {'party2': 'B10', 'party1': 'S00', 'price': 67, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.47500000000572, 'type': 'Trade'}
Test06, Exch0Lit, 100.525,76,1,AAA,AA, {'party2': 'B15', 'party1': 'S05', 'price': 76, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.52500000000573, 'type': 'Trade'}
Test06, Exch0Lit, 100.575,90,1,AAAA,MLOFI, {'party2': 'B14', 'party1': 'S01', 'price': 90, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.57500000000574, 'type': 'Trade'}
Test06, Exch0Lit, 100.65,79,1,AAAA,AA, {'party2': 'B03', 'party1': 'S04', 'price': 79, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.65000000000576, 'type': 'Trade'}
Test06, Exch0Lit, 100.7,79,1,AAAA,AA, {'party2': 'B02', 'party1': 'S08', 'price': 79, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.70000000000577, 'type': 'Trade'}
Test06, Exch0Lit, 100.75,94,1,AAA,AA, {'party2': 'B04', 'party1': 'S09', 'price': 94, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.75000000000578, 'type': 'Trade'}
Test06, Exch0Lit, 100.85,79,1,AAA,AA, {'party2': 'B00', 'party1': 'S02', 'price': 79, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.8500000000058, 'type': 'Trade'}
Test06, Exch0Lit, 100.875,94,1,AAA,MLOFI, {'party2': 'B11', 'party1': 'S10', 'price': 94, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.87500000000581, 'type': 'Trade'}
