Date,Close,% Change,% Change vs Average,Volume,,,
2025-02-11T09:50:00.000Z,"98,046.60",-0.07,-0.07,0,,,
2025-02-11T09:55:00.000Z,"98,072.11",0.03,0.03,"52,668,416",,,
2025-02-11T10:00:00.000Z,"98,066.16",-0.01,0,0,,,
2025-02-11T10:05:00.000Z,"98,061.78",0,0,"764,262,400",,,
2025-02-11T10:10:00.000Z,"98,128.76",0.07,0.07,0,,,
2025-02-11T10:15:00.000Z,"98,116.45",-0.01,-0.01,"15,990,784",,,
2025-02-11T10:20:00.000Z,"98,068.69",-0.05,-0.05,0,,,
2025-02-11T10:25:00.000Z,"97,973.86",-0.1,-0.1,"56,199,168",,,
2025-02-11T10:30:00.000Z,"97,984.41",0.01,0.01,0,,,
2025-02-11T10:35:00.000Z,"98,021.38",0.04,0.04,"654,968,832",,,
2025-02-11T10:40:00.000Z,"97,998.27",-0.02,-0.02,0,,,
2025-02-11T10:45:00.000Z,"98,030.73",0.03,0.03,0,,,
2025-02-11T10:50:00.000Z,"98,009.85",-0.02,-0.02,"630,632,448",,,
2025-02-11T10:55:00.000Z,"98,005.55",0,0,0,,,
2025-02-11T11:00:00.000Z,"98,024.38",0.02,0.02,0,,,
2025-02-11T11:05:00.000Z,"97,986.48",-0.04,-0.04,0,,,
2025-02-11T11:10:00.000Z,"97,943.95",-0.04,-0.04,0,,,
2025-02-11T11:15:00.000Z,"97,987.48",0.04,0.05,0,,,
2025-02-11T11:20:00.000Z,"98,083.57",0.1,0.1,0,,,
2025-02-11T11:25:00.000Z,"98,102.51",0.02,0.02,"32,917,504",,,
2025-02-11T11:30:00.000Z,"98,092.93",-0.01,-0.01,"15,992,832",,,
2025-02-11T11:35:00.000Z,"98,091.33",0,0,"97,067,008",,,
2025-02-11T11:40:00.000Z,"98,011.76",-0.08,-0.08,0,,,
2025-02-11T11:45:00.000Z,"98,126.02",0.12,0.12,"92,846,080",,,
2025-02-11T11:50:00.000Z,"98,203.06",0.08,0.08,0,,,
2025-02-11T11:55:00.000Z,"98,164.16",-0.04,-0.04,0,,,
