Date,Close,% Change,% Change vs Average,Volume
2025-02-10T16:55:00.000Z,"97,366.66",0.03,0.04,"121,827,328"
2025-02-10T17:00:00.000Z,"97,242.68",-0.13,-0.13,0
2025-02-10T17:05:00.000Z,"97,359.29",0.12,0.12,"724,873,216"
2025-02-10T17:10:00.000Z,"96,979.03",-0.39,-0.39,0
2025-02-10T17:15:00.000Z,"97,096.71",0.12,0.12,"149,409,792"
2025-02-10T17:20:00.000Z,"97,066.26",-0.03,-0.03,0
2025-02-10T17:25:00.000Z,"97,274.16",0.21,0.22,0
2025-02-10T17:30:00.000Z,"97,317.91",0.04,0.05,"1,213,509,632"
2025-02-10T17:35:00.000Z,"97,248.33",-0.07,-0.07,0
2025-02-10T17:40:00.000Z,"97,240.90",-0.01,-0.01,"46,374,912"
2025-02-10T17:45:00.000Z,"97,237.98",0,0,"27,639,808"
2025-02-10T17:50:00.000Z,"97,391.97",0.16,0.16,"1,163,010,048"
2025-02-10T17:55:00.000Z,"97,479.95",0.09,0.09,0
2025-02-10T18:00:00.000Z,"97,468.97",-0.01,-0.01,"740,155,392"
2025-02-10T18:05:00.000Z,"97,512.74",0.04,0.05,0
2025-02-10T18:10:00.000Z,"97,335.73",-0.18,-0.18,0
2025-02-10T18:15:00.000Z,"97,245.97",-0.09,-0.09,0
2025-02-10T18:20:00.000Z,"97,283.77",0.04,0.04,"206,602,240"
2025-02-10T18:25:00.000Z,"97,378.30",0.1,0.1,"699,887,616"
2025-02-10T18:30:00.000Z,"97,468.63",0.09,0.09,0
2025-02-10T18:35:00.000Z,"97,291.05",-0.18,-0.18,"62,898,176"
2025-02-10T18:40:00.000Z,"97,329.91",0.04,0.04,"948,682,752"
2025-02-10T18:45:00.000Z,"97,334.28",0,0.01,"155,664,384"
2025-02-10T18:50:00.000Z,"97,445.84",0.11,0.12,"10,076,160"
2025-02-10T18:55:00.000Z,"97,506.82",0.06,0.06,"137,670,656"
2025-02-10T19:00:00.000Z,"97,506.27",0,0,"127,062,016"
2025-02-10T19:05:00.000Z,"97,554.92",0.05,0.05,0
2025-02-10T19:10:00.000Z,"97,595.27",0.04,0.04,"33,091,584"
2025-02-10T19:15:00.000Z,"97,592.25",0,0,"819,965,952"
2025-02-10T19:20:00.000Z,"97,600.93",0.01,0.01,0
2025-02-10T19:25:00.000Z,"97,580.17",-0.02,-0.02,0
2025-02-10T19:30:00.000Z,"97,581.09",0,0,"759,668,736"
2025-02-10T19:35:00.000Z,"97,462.32",-0.12,-0.12,0
2025-02-10T19:40:00.000Z,"97,433.30",-0.03,-0.03,"109,367,296"
2025-02-10T19:45:00.000Z,"97,321.85",-0.11,-0.11,"31,301,632"
2025-02-10T19:50:00.000Z,"97,345.02",0.02,0.02,"68,423,680"
2025-02-10T19:55:00.000Z,"97,417.19",0.07,0.08,"715,575,296"
2025-02-10T20:00:00.000Z,"97,373.98",-0.04,-0.04,"48,476,160"
2025-02-10T20:05:00.000Z,"97,419.86",0.05,0.05,"3,604,480"
2025-02-10T20:10:00.000Z,"97,417.68",0,0,"14,643,200"
2025-02-10T20:15:00.000Z,"97,404.76",-0.01,-0.01,"99,405,824"
2025-02-10T20:20:00.000Z,"97,289.08",-0.12,-0.12,0
2025-02-10T20:25:00.000Z,"97,292.81",0,0.01,"982,233,088"
2025-02-10T20:30:00.000Z,"97,359.90",0.07,0.07,0
2025-02-10T20:35:00.000Z,"97,376.42",0.02,0.02,0
2025-02-10T20:40:00.000Z,"97,478.06",0.1,0.11,0
2025-02-10T20:45:00.000Z,"97,518.04",0.04,0.04,"926,654,464"
2025-02-10T20:50:00.000Z,"97,405.02",-0.12,-0.11,"11,083,776"
2025-02-10T20:55:00.000Z,"97,362.62",-0.04,-0.04,0
2025-02-10T21:00:00.000Z,"97,341.94",-0.02,-0.02,0
2025-02-10T21:05:00.000Z,"97,325.66",-0.02,-0.02,"737,300,480"
2025-02-10T21:10:00.000Z,"97,301.49",-0.02,-0.02,0
2025-02-10T21:15:00.000Z,"97,192.65",-0.11,-0.11,0
2025-02-10T21:20:00.000Z,"97,217.64",0.03,0.03,"750,923,776"
2025-02-10T21:25:00.000Z,"97,298.35",0.08,0.08,0
2025-02-10T21:30:00.000Z,"97,256.88",-0.04,-0.04,"117,096,448"
2025-02-10T21:35:00.000Z,"97,309.40",0.05,0.06,0
2025-02-10T21:40:00.000Z,"97,313.83",0,0.01,0
2025-02-10T21:45:00.000Z,"97,188.41",-0.13,-0.13,0
2025-02-10T21:50:00.000Z,"97,292.45",0.11,0.11,"404,168,704"
2025-02-10T21:55:00.000Z,"97,375.49",0.09,0.09,0
2025-02-10T22:00:00.000Z,"97,315.80",-0.06,-0.06,0
2025-02-10T22:05:00.000Z,"97,362.17",0.05,0.05,0
2025-02-10T22:10:00.000Z,"97,338.61",-0.02,-0.02,0
2025-02-10T22:15:00.000Z,"97,337.63",0,0,0
2025-02-10T22:20:00.000Z,"97,362.09",0.03,0.03,0
2025-02-10T22:25:00.000Z,"97,502.35",0.14,0.15,0
2025-02-10T22:30:00.000Z,"97,482.42",-0.02,-0.02,"45,965,312"
2025-02-10T22:35:00.000Z,"97,377.68",-0.11,-0.11,"557,563,904"
2025-02-10T22:40:00.000Z,"97,447.38",0.07,0.07,0
2025-02-10T22:45:00.000Z,"97,450.05",0,0,0
